,Month,Brent Spot Price (U.S. Dollars per Barrel),WTI Spot Price (U.S. Dollars per Barrel)
0,2015-01,47.7595,47.219
1,2015-02,58.0955,50.58421052631579
2,2015-03,55.88545454545454,47.82363636363636
3,2015-04,59.52428571428571,54.45285714285714
4,2015-05,64.075,59.265
5,2015-06,61.47772727272727,59.819545454545455
6,2015-07,56.56130434782609,50.90090909090909
7,2015-08,46.58428571428571,42.86761904761905
8,2015-09,47.62318181818182,45.47952380952381
9,2015-10,48.43,46.22363636363636
10,2015-11,44.26761904761905,42.385238095238094
11,2015-12,37.96521739130434,37.20652173913044
12,2016-01,30.98095238095238,31.9555
13,2016-02,32.1815,30.323
14,2016-03,38.210454545454546,37.54636363636364
15,2016-04,41.583333333333336,40.7552380952381
16,2016-05,46.742380952380955,46.712380952380954
17,2016-06,48.24727272727273,48.75727272727273
18,2016-07,44.951904761904764,44.6515
19,2016-08,45.843043478260874,44.72434782608696
20,2016-09,46.567727272727275,45.14636363636364
21,2016-10,49.522380952380956,49.775238095238095
22,2016-11,44.684761904761906,45.66095238095238
23,2016-12,53.28857142857142,51.9704761904762
24,2017-01,54.57666666666666,52.504
25,2017-02,54.8695,53.46842105263158
26,2017-03,51.589130434782604,49.32782608695652
27,2017-04,52.30789473684211,51.060526315789474
28,2017-05,50.326521739130435,48.47636363636364
29,2017-06,46.36818181818182,45.177727272727275
30,2017-07,48.47857142857143,46.630526315789474
31,2017-08,51.70434782608696,48.03695652173913
32,2017-09,56.152857142857144,49.822
33,2017-10,57.50772727272727,51.57772727272727
34,2017-11,62.71409090909091,56.63857142857143
35,2017-12,64.3736842105263,57.8815
36,2018-01,69.07727272727273,63.698571428571434
37,2018-02,65.3175,62.22947368421052
38,2018-03,66.01666666666667,62.724761904761905
39,2018-04,72.01285714285714,66.25380952380952
40,2018-05,76.87409090909091,69.97818181818182
41,2018-06,74.4047619047619,67.87333333333333
42,2018-07,74.2540909090909,70.98142857142857
43,2018-08,72.52826086956522,68.05565217391305
44,2018-09,78.89099999999999,70.2321052631579
45,2018-10,81.03217391304348,70.74869565217391
46,2018-11,64.74818181818182,56.963499999999996
47,2018-12,57.36235294117647,49.522777777777776
48,2019-01,59.40954545454545,51.39636363636364
49,2019-02,63.9605,54.986000000000004
50,2019-03,66.13857142857144,58.151428571428575
51,2019-04,71.23333333333333,63.862380952380946
52,2019-05,71.17260869565217,60.721304347826084
53,2019-06,64.2205,54.657500000000006
54,2019-07,63.9191304347826,57.35809523809524
55,2019-08,59.041818181818186,54.80590909090909
56,2019-09,62.826666666666675,56.857619047619046
57,2019-10,59.71304347826087,53.96304347826087
58,2019-11,63.21190476190476,57.027
59,2019-12,67.31,59.878181818181815
60,2020-01,63.82478260869566,57.68363636363636
61,2020-02,55.657000000000004,50.617000000000004
62,2020-03,32.01136363636363,29.207727272727276
63,2020-04,18.46666666666667,16.547619047619047
64,2020-05,29.6,28.5625
65,2020-06,40.26681818181818,38.307272727272725
66,2020-07,43.24217391304348,40.70434782608696
67,2020-08,44.736000000000004,42.33904761904762
68,2020-09,40.90954545454545,39.63428571428571
69,2020-10,40.18954545454546,39.39590909090909
70,2020-11,42.69238095238095,40.93736842105263
71,2020-12,49.99363636363637,47.025
72,2021-01,54.774,52.008421052631576
73,2021-02,62.2765,59.04631578947369
74,2021-03,65.41,62.333043478260876
75,2021-04,64.76095238095238,61.71666666666666
76,2021-05,68.494,65.22380952380952
77,2021-06,73.1640909090909,71.37818181818182
78,2021-07,75.1659090909091,72.61636363636363
79,2021-08,70.74714285714286,67.73045454545455
80,2021-09,74.48863636363636,71.64619047619047
81,2021-10,83.53809523809524,81.47666666666666
82,2021-11,81.05,79.07227272727272
83,2021-12,74.21909090909091,71.71181818181819
84,2022-01,86.50523809523808,83.25047619047619
85,2022-02,97.12899999999999,91.622
86,2022-03,117.24521739130434,108.50260869565217
87,2022-04,104.888,101.7775
88,2022-05,113.11136363636363,109.79818181818182
89,2022-06,122.71095238095238,114.62954545454545
90,2022-07,111.92571428571429,102.03238095238095
91,2022-08,100.44636363636364,93.66521739130435
92,2022-09,89.74954545454545,84.39590909090909
93,2022-10,93.4105,87.586
94,2022-11,91.41545454545455,84.37047619047618
95,2022-12,81.0395,76.63380952380952
96,2023-01,82.51590909090909,78.123
97,2023-02,82.58500000000001,76.83263157894737
98,2023-03,84.8575,78.9075
